"colonization_var","response_var","correlation","colonization_pretty","response_pretty"
"non_am_rlc","np_ratio",0.3522005418791,"Non-AM","N:P Ratio"
"non_am_rlc","p",-0.167222824970832,"Non-AM","Phosphorus Content"
"non_am_rlc","shoot_wt",-0.0290254265817366,"Non-AM","Shoot Weight"
"non_am_rlc","florets",0.03749348427055,"Non-AM","Florets"
"olpidium_rlc","c",0.152012855837444,"Olpidium","Carbon Content"
"olpidium_rlc","cn_ratio",-0.0718755243639365,"Olpidium","C:N Ratio"
"olpidium_rlc","d13c",-0.419289449690598,"Olpidium","δ¹³C"
"olpidium_rlc","d15n",-0.0477807052881203,"Olpidium","δ¹⁵N"
"olpidium_rlc","n",0.152537589166935,"Olpidium","Nitrogen Content"
"olpidium_rlc","np_ratio",0.195669352947086,"Olpidium","N:P Ratio"
"olpidium_rlc","p",-0.000277497471533098,"Olpidium","Phosphorus Content"
"olpidium_rlc","shoot_wt",0.215011076071053,"Olpidium","Shoot Weight"
"olpidium_rlc","florets",-0.121647107712134,"Olpidium","Florets"
"rlc_p","c",0.105972765691443,"AMF RLC","Carbon Content"
"rlc_p","cn_ratio",-0.127681410377497,"AMF RLC","C:N Ratio"
"rlc_p","d13c",0.181636524507155,"AMF RLC","δ¹³C"
"rlc_p","d15n",-0.154756780928508,"AMF RLC","δ¹⁵N"
"rlc_p","n",0.0223091246449415,"AMF RLC","Nitrogen Content"
"rlc_p","np_ratio",0.0345649949960058,"AMF RLC","N:P Ratio"
"rlc_p","p",0.192788886177486,"AMF RLC","Phosphorus Content"
"rlc_p","shoot_wt",0.0583073210727765,"AMF RLC","Shoot Weight"
"rlc_p","florets",0.00292690052554145,"AMF RLC","Florets"
"vesicle_rlc","c",0.0406830459797769,"Vesicles/Spores","Carbon Content"
"vesicle_rlc","cn_ratio",-0.0934109438506456,"Vesicles/Spores","C:N Ratio"
"vesicle_rlc","d13c",-0.0178117117593166,"Vesicles/Spores","δ¹³C"
"vesicle_rlc","d15n",-0.0278308693495675,"Vesicles/Spores","δ¹⁵N"
"vesicle_rlc","n",0.0262080923288007,"Vesicles/Spores","Nitrogen Content"
"vesicle_rlc","np_ratio",-0.254870490279755,"Vesicles/Spores","N:P Ratio"
"vesicle_rlc","p",0.419020769502658,"Vesicles/Spores","Phosphorus Content"
"vesicle_rlc","shoot_wt",0.193781534872402,"Vesicles/Spores","Shoot Weight"
"vesicle_rlc","florets",0.174033182403425,"Vesicles/Spores","Florets"
"coil_rlc","c",0.0636954264497037,"Coils","Carbon Content"
"coil_rlc","cn_ratio",-0.196868920213741,"Coils","C:N Ratio"
"coil_rlc","d13c",0.179814473643736,"Coils","δ¹³C"
"coil_rlc","d15n",0.144818400174522,"Coils","δ¹⁵N"
"coil_rlc","n",0.189350670159823,"Coils","Nitrogen Content"
"coil_rlc","np_ratio",-0.0501321345816413,"Coils","N:P Ratio"
"coil_rlc","p",0.302119755017384,"Coils","Phosphorus Content"
"coil_rlc","shoot_wt",0.165924398605663,"Coils","Shoot Weight"
"coil_rlc","florets",-0.192698033264946,"Coils","Florets"
"plasmodiophorids_rlc","c",-0.372578939627887,"Plasmodiophorids","Carbon Content"
"plasmodiophorids_rlc","cn_ratio",-0.449050186524101,"Plasmodiophorids","C:N Ratio"
"plasmodiophorids_rlc","d13c",-0.396762874831127,"Plasmodiophorids","δ¹³C"
"plasmodiophorids_rlc","d15n",-0.420206317485565,"Plasmodiophorids","δ¹⁵N"
"plasmodiophorids_rlc","n",0.235783071975923,"Plasmodiophorids","Nitrogen Content"
"plasmodiophorids_rlc","np_ratio",0.134556976265121,"Plasmodiophorids","N:P Ratio"
"plasmodiophorids_rlc","p",-0.0697917710753217,"Plasmodiophorids","Phosphorus Content"
"plasmodiophorids_rlc","shoot_wt",-0.279896475301927,"Plasmodiophorids","Shoot Weight"
"plasmodiophorids_rlc","florets",0.197499275687354,"Plasmodiophorids","Florets"
"amf_hyphae_in_dry_soil_m_g","c",0.751242144439605,"AMF in Dry Soil","Carbon Content"
"amf_hyphae_in_dry_soil_m_g","cn_ratio",-0.49160822096097,"AMF in Dry Soil","C:N Ratio"
"amf_hyphae_in_dry_soil_m_g","d13c",0.299336729072759,"AMF in Dry Soil","δ¹³C"
"amf_hyphae_in_dry_soil_m_g","d15n",-0.820445561892946,"AMF in Dry Soil","δ¹⁵N"
"amf_hyphae_in_dry_soil_m_g","n",0.539204318584881,"AMF in Dry Soil","Nitrogen Content"
"amf_hyphae_in_dry_soil_m_g","np_ratio",0.423205761952056,"AMF in Dry Soil","N:P Ratio"
"amf_hyphae_in_dry_soil_m_g","p",-0.141346343505601,"AMF in Dry Soil","Phosphorus Content"
"amf_hyphae_in_dry_soil_m_g","shoot_wt",-0.781478149181517,"AMF in Dry Soil","Shoot Weight"
"amf_hyphae_in_dry_soil_m_g","florets",-0.238185645145799,"AMF in Dry Soil","Florets"
"dse_hyphae_in_dry_soil_m_g","c",0.219571547906545,"DSE in Dry Soil","Carbon Content"
"dse_hyphae_in_dry_soil_m_g","cn_ratio",-0.102032609989262,"DSE in Dry Soil","C:N Ratio"
"dse_hyphae_in_dry_soil_m_g","d13c",-0.513912898899831,"DSE in Dry Soil","δ¹³C"
"dse_hyphae_in_dry_soil_m_g","d15n",0.0638348803606336,"DSE in Dry Soil","δ¹⁵N"
"dse_hyphae_in_dry_soil_m_g","n",0.435450147139972,"DSE in Dry Soil","Nitrogen Content"
"dse_hyphae_in_dry_soil_m_g","np_ratio",-0.653847421601992,"DSE in Dry Soil","N:P Ratio"
"dse_hyphae_in_dry_soil_m_g","p",0.909217072243493,"DSE in Dry Soil","Phosphorus Content"
"dse_hyphae_in_dry_soil_m_g","shoot_wt",-0.348142855929316,"DSE in Dry Soil","Shoot Weight"
"dse_hyphae_in_dry_soil_m_g","florets",0.568667881309129,"DSE in Dry Soil","Florets"
"dot_line_rlc","c",0.0509781421382774,"Dot Line","Carbon Content"
"dot_line_rlc","cn_ratio",-0.089937802883148,"Dot Line","C:N Ratio"
"dot_line_rlc","d13c",-0.440454593587585,"Dot Line","δ¹³C"
"dot_line_rlc","d15n",0.253523025079972,"Dot Line","δ¹⁵N"
"dot_line_rlc","n",0.106472191545618,"Dot Line","Nitrogen Content"
"dot_line_rlc","np_ratio",-0.0704951111939496,"Dot Line","N:P Ratio"
"dot_line_rlc","p",-0.21569080942861,"Dot Line","Phosphorus Content"
"dot_line_rlc","shoot_wt",-0.204191468748008,"Dot Line","Shoot Weight"
"dot_line_rlc","florets",-0.761034271464674,"Dot Line","Florets"
